SourceFile,Record
666_SALES_DATA_NNME_28102024.DAT,B;666;1841688;4;20241028 01:08;;;19;HENRY ST;BARRABA;2347;1012;M;20241003;20241023;250000;RU5;R;RESIDENCE;;AZJ;;0;AU519837;
666_SALES_DATA_NNME_28102024.DAT,B;666;1863230;5;20241028 01:08;;;30;ROWAN ST;MANILLA;2346;1657;M;20240912;20241021;590000;R1;R;RESIDENCE;;AZC;;0;AU513461;
666_SALES_DATA_NNME_28102024.DAT,B;666;1871053;6;20241028 01:08;;;36;GILL ST;NUNDLE;2340;4046;M;20240924;20241018;112500;RU5;R;RESIDENCE;;AZX;;0;AU511121;
666_SALES_DATA_NNME_28102024.DAT,B;666;1874817;7;20241028 01:08;;;18;ROBEY ST;KOOTINGAL;2352;793.9;M;20240918;20241021;510000;R1;R;RESIDENCE;;AZK;;0;AU513198;
666_SALES_DATA_NNME_28102024.DAT,B;666;1872454;8;20241028 01:08;;;10;RIDGE ST;ATTUNGA;2345;2985;M;20240917;20241022;449000;RU5;R;RESIDENCE;;AZX;;0;AU517105;
666_SALES_DATA_NNME_28102024.DAT,B;666;1875617;9;20241028 01:08;BROULA;;733;NEW ENGLAND GULLY RD;MOONBI;2353;14.46;H;20241023;20241023;295000;RU1;3;FARM;;RHA;;0;AU521974;
666_SALES_DATA_NNME_28102024.DAT,B;666;3709330;10;20241028 01:08;;;6;MCKINLAY PL;WESTDALE;2340;700;M;20240912;20241024;530000;R1;R;RESIDENCE;;AOV;;0;AU524612;
666_SALES_DATA_NNME_28102024.DAT,B;666;3651218;11;20241028 01:08;;;21;CONIMBLA CRES;NORTH TAMWORTH;2340;900;M;20240816;20241022;955000;R1;R;RESIDENCE;;AAW;;0;AU517698;
666_SALES_DATA_NNME_28102024.DAT,B;666;1876130;12;20241028 01:08;KISMET;;1264;NEW ENGLAND HWY;KOOTINGAL;2352;2.163;H;20240912;20241022;600000;R5;R;RESIDENCE;;AFT;;0;AU517823;
666_SALES_DATA_NNME_28102024.DAT,B;666;1862894;13;20241028 01:08;;;280;MANILLA ST;MANILLA;2346;1012;M;20241002;20241024;180000;RU4;R;RESIDENCE;;RDH;;0;AU524208;
666_SALES_DATA_NNME_28102024.DAT,B;666;2763393;14;20241028 01:08;;;40;KENT ST;SOUTH TAMWORTH;2340;1012;M;20240911;20241023;485000;R1;R;RESIDENCE;;AST;;0;AU520945;
666_SALES_DATA_NNME_28102024.DAT,B;666;2763837;15;20241028 01:08;;;9;KURRIA CL;HILLVUE;2340;718.3;M;20240918;20241018;570000;R1;R;RESIDENCE;;AAH;;0;AU509266;
666_SALES_DATA_NNME_28102024.DAT,B;666;2761229;16;20241028 01:08;;2;257;GOONOO GOONOO RD;WEST TAMWORTH;2340;127;M;20240926;20241018;279000;;R;RESIDENCE;2;;;0;AU510875;
666_SALES_DATA_NNME_28102024.DAT,B;666;2756017;17;20241028 01:08;;;11;ILLOURA ST;HILLVUE;2340;722.9;M;20240905;20241017;724000;R1;R;RESIDENCE;;AAH;;0;AU504993;
666_SALES_DATA_NNME_28102024.DAT,B;666;2761436;18;20241028 01:08;;;10;GRAHAM ST;CALALA;2340;928.6;M;20240912;20241024;460000;R1;R;RESIDENCE;;AAP;;0;AU526037;
666_SALES_DATA_NNME_28102024.DAT,B;666;2759044;19;20241028 01:08;;;113 A;DENISON ST;WEST TAMWORTH;2340;674.4;M;20240927;20241018;470000;R1;R;RESIDENCE;;AWT;;0;AU508757;
